Halal Food Sydney (HFS) - Restaurants,,,,,,,
,,,,,,,
Please list any Halal restaurants/caterers (with handslaughtered meat supply) below. ,,,,,,,
"Currently, the only hand-slaughtered meat suppliers in Sydney are Giglios, Fresh Poultry, and Mohammed Amin (MAM 100% Halaal).",,,,,,,
"Please list any potential issues (eg mixed meat supply, cross-contamination risk with non HS meat, serves alcohol, halal on request, etc), as well as any relevant documentation, in the 'Notes & other enquiry details' column.",,,,,,,
,,,,,,,
Restaurant Name,Address,Status,Supplier,Last Contacted,Notes & other enquiry details,Coordinates,State
Quick Shawarma,"1/340 Guildford Road, Guildford NSW 2161",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.8541874, 150.9856045)",NSW
Redpepper Chullora,"Shop 46/355-357 Waterloo Rd, Chullora NSW 2190",Verified - Halal,Fresh Poultry,5/8/2023,"Verified by A.M of HFS Chat. FP Chicken (verified over call with FP), John Dee for red meat (export), owner confirmed there is no alcohol in sauces.","(-33.89301368441262, 151.0612733182038)",NSW
Ruby's Fried Chicken,"55 Majors Bay Road, Concord NSW 2137",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.8562732, 151.1035375)",NSW
Searock Grill,"Shop 15/5 Macquarie St, Sydney NSW 2000, Australia",Potential Issues,Fresh Poultry,,"On Fresh Poultry App - 7/5/2023
Menu contains pork items, uncertain of suppliers for other meats or if cross-contamination standards are enforced.","(-33.8600403, 151.2126107)",NSW
Shahi Lounge,"65 Auburn Rd, Auburn NSW 2144",Pending Review,Fresh Poultry,,,"(-33.852512, 151.0322412)",NSW
Shahrvand Supermarket,"10/45 Rawson St, Auburn NSW 2144, Australia",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.8498246, 151.0352148)",NSW
Sienna's Middle Eastern Cuisine,"Shop B19 Carnes Hill Marketplace, Carnes Hill NSW 2171, Australia",Pending Review,,,No longer on Fresh Poultry App,"(-33.9373818, 150.8450395)",NSW
Slices Pizza,"50A Burwood Rd, Burwood NSW 2134",Pending Review,,15/8/2023,,"(-33.87183135877445, 151.10492860703394)",NSW
Sneakies Kitchen,"Unit 33/11-21 Underwood Rd, Homebush NSW 2140, Australia",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.856439, 151.079125)",NSW
Student Biryani,"42 Auburn Rd, Auburn NSW 2144",Verified - Halal,Self Supplied,15/5/2023,Confirmed HS and trustworthy by multiple 'ulema in community.,"(-33.8525862, 151.0330126)",NSW
Student Biryani,"462-464 Cleveland St, Surry Hills NSW 2010",Verified - Halal,Self Supplied,15/5/2023,Confirmed HS and trustworthy by multiple 'ulema in community.,"(-33.8914389, 151.2135075)",NSW
Student Biryani,"Shop 7/132 Corrimal St, Wollongong NSW 2500",Verified - Halal,Self Supplied,15/5/2023,Confirmed HS and trustworthy by multiple 'ulema in community.,"(-34.4265123, 150.8995332)",NSW
Stumpys Burgers,"35 Selems Parade, Revesby NSW 2212, Australia",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.9510266, 151.0131299)",NSW
Sushi Bay,"200 Gilchrist Dr, Campbelltown NSW 2560, Australia",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-34.0748527, 150.7979477)",NSW
Tabaq Tandoori Corner,"32 Rooty Hill Rd N, Rooty Hill NSW 2766",Pending Review,,15/8/2023,Confirmation requested by member of HFS Chat. Reported to supply from Paak Halal Meat & Nazar Butchery.,"(-33.770100753781215, 150.8436033837487)",NSW
Taste of Thai,"1662 Departure Plaza, Mascot NSW 2020, Australia",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.9371492, 151.1659494)",NSW
Taste of Thai,"23 Belmore Rd, Randwick NSW 2031, Australia",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.9134083, 151.2399578)",NSW
Thai Away,"Shop 4/57-59 Queen St, Auburn NSW 2144",Pending Review,,15/8/2023,Confirmation of supplier required. May use oyster products in food.,"(-33.85067511411889, 151.03205489651046)",NSW
Thai Garden Restaurant,"98 Station Rd, Auburn NSW 2144, Australia",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.8436843, 151.0391073)",NSW
Thai Hutt,"41 North Terrace, Bankstown NSW 2200, Australia",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.9166196, 151.0372359)",NSW
Thai Hutt,"17 Restwell St, Bankstown NSW 2200, Australia",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.9190563, 151.0346044)",NSW
thainabox,"McFarlane St, Merrylands NSW 2160",Pending Review,,,Confirmation required.,"(-33.8353773, 150.9893515)",NSW
thainabox,"7/207 Ben Boyd Rd, Neutral Bay NSW 2089, Australia",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.830134, 151.219762)",NSW
The Avenue Newington,"2c/2 Avenue of Europe, Newington NSW 2127, Australia",Confirmed - Halal,Fresh Poultry,,"On Fresh Poultry App - 7/5/2023
Required to confirm whether alcohol/mirin/sake used in sushi.","(-33.833733, 151.0566424)",NSW
The Coffee Emporium,"1 North Terrace, Bankstown NSW 2200, Australia",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.9164071, 151.0383754)",NSW
The House of Thai,"Shop 2/465 - 469 Chapel Rd, Bankstown NSW 2200, Australia",Verified - Halal,,,Supplied by butcher on Wellington. Nuggets giglios. Confirmed by butcher 02/24,"(-33.9127355, 151.0351654)",NSW
The Kulcha House,"221 Macquarie St, Liverpool NSW 2170, Australia",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.922918, 150.923272)",NSW
The Ritual Espresso,"Shop 1B/20 Zoe Pl, Mount Druitt NSW 2770",Confirmed - Halal,Fresh Poultry,15/8/2023,On FP App - 15/8/2023.,"(-33.76514758458944, 150.82728600037535)",NSW
The Rocks Cafe,"99 George St, The Rocks NSW 2000, Australia",Potential Issues,Fresh Poultry,,"On Fresh Poultry App - 7/5/2023
Menu contains pork items & alcohol, uncertain of suppliers for other meats or if cross-contamination standards are enforced.","(-33.8593719, 151.2085943)",NSW
Toros Gozleme & Grill,"159-175 Church St, Parramatta NSW 2150",Pending Review,,15/8/2023,Google Form submission received. Confirmation required.,"(-33.81711567226778, 151.00124147151652)",NSW
Toscanini Italian Restaurant,"75-77 Middleton Road, Chester Hill NSW 2162",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.8704409, 150.986074)",NSW
Traboulsi Bakery,"43 The Boulevarde, Lakemba NSW 2195",Verified - Halal,Fresh Poultry,17/8/2023,Certificate on display at front. ,"(-33.92029242662193, 151.0768026950716)",NSW
Treat Talk Pizza and Kebab,"41 The Boulevarde, Strathfield NSW 2135",Verified - Halal,Fresh Poultry,15/8/2023,Confirmed by Ml.E,"(-33.874008338663735, 151.09359037068972)",NSW
Universal Burger Co. Auburn,"1a/100 Parramatta Rd, Auburn NSW 2144, Australia",Confirmed - Halal,Fresh Poultry,,No longer on Fresh Poultry App. Call by A.R - confirmed supply is currently FP.,"(-33.84597979999999, 151.0431213)",NSW
Volcanos Steakhouse,"Shop 1 2/4 West Terrace, Bankstown NSW 2200, Australia",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.9185406, 151.0372721)",NSW
Volcanos Steakhouse,"Shop 4005/17 Patrick St, Blacktown NSW 2148",Confirmed - Halal,Fresh Poultry,,Confirmed by HFS member by calling restaurant. Needs follow up FP verification,"(-33.7699396, 150.9068509)",NSW
Volcanos Steakhouse,"313 Church St, Parramatta NSW 2150, Australia",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.8116139, 151.0039678)",NSW
Wagyu Cart,"131 Parramatta Rd, Homebush NSW 2140, Australia",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.8633505, 151.0816408)",NSW
Woodbine Hot Food and Pizzas,"83/83 N Steyne Rd, Woodbine NSW 2560, Australia",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-34.0489603, 150.8199398)",NSW
XS Espresso Chullora,"Shop 43 355-357 Waterloo Rd, Chullora NSW 2190",Pending Review,Giglios,26/9/2023,"Confirmed via call/in-person question - MO
meat not checked.","(-33.89300826632782, 151.061314030725)",NSW
Yemendi Restaurant,"500 King Georges Rd, Beverly Hills NSW 2209",Confirmed - Halal,Fresh Poultry,15/8/2023,,"(-33.949895447343785, 151.0814744837968)",NSW
YG Burger House,"48 Railway Parade, Granville NSW 2142, Australia",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.8321874, 151.0100477)",NSW
Yummy Village,"312 Railway Terrace, Guildford NSW 2161",Confirmed - Halal,Khoder Ismail Butchery Guildford,15/8/2023,Confirmation by A.A of HFS Sydney.,"(-33.85420256526121, 150.9850157798935)",NSW
Zac’s Great Food Restaurant & Cafe Bella Vista,"Level 5 Unit 16/5 Celebration Dr, Bella Vista NSW 2153, Australia",Partially Halal,Fresh Poultry,,"On Fresh Poultry App - 7/5/2023
Restaurant sells alcohol - M.O.","(-33.732359, 150.9464613)",NSW
Zaitoune Mezza and Grill,"225 Morrison Rd, Putney NSW 2112, Australia",Partially Halal,Fresh Poultry,15/8/2023,On Fresh Poultry App - 7/5/2023. Alcohol sold at venue.,"(-33.822829, 151.1080652)",NSW
Zambeekas Char Grilled Chicken,"7 Chester Hill Rd, Chester Hill NSW 2162",Verified - Halal,MAM 100% Halaal,9/5/2023,Confirmed by A.R of HFS Chat by calling MAM 100% Halaal,"(-33.8834636, 151.0008361)",NSW
Zedan Bakery,"Shop 3/53-55 Rawson St, Auburn NSW 2144",Verified - Halal,Fresh Poultry,,"Confirmed by F.F of HFS Chat - supplied by Al-Rahman Halal Butchery, Auburn.","(-33.8495362, 151.0340993)",NSW
